period,year,month,carrier,technology,lines
2017.12,2017,12,합계,xDSL,934547
2017.12,2017,12,합계,LAN,8416622
2017.12,2017,12,합계,HFC,3853425
2017.12,2017,12,합계,FTTH,7671062
2017.12,2017,12,KT,xDSL,664831
2017.12,2017,12,KT,LAN,3208156
2017.12,2017,12,KT,HFC,0
2017.12,2017,12,KT,FTTH,4885438
2017.12,2017,12,SK브로드밴드,xDSL,104984
2017.12,2017,12,SK브로드밴드,LAN,994577
2017.12,2017,12,SK브로드밴드,HFC,449439
2017.12,2017,12,SK브로드밴드,FTTH,883431
2017.12,2017,12,SKT(재판매),xDSL,140732
2017.12,2017,12,SKT(재판매),LAN,1301788
2017.12,2017,12,SKT(재판매),HFC,414271
2017.12,2017,12,SKT(재판매),FTTH,829788
2017.12,2017,12,LG U+,xDSL,0
2017.12,2017,12,LG U+,LAN,1973668
2017.12,2017,12,LG U+,HFC,913056
2017.12,2017,12,LG U+,FTTH,928749
2017.12,2017,12,종합유선,xDSL,22947
2017.12,2017,12,종합유선,LAN,925475
2017.12,2017,12,종합유선,HFC,2073582
2017.12,2017,12,종합유선,FTTH,140579
2017.12,2017,12,기타,xDSL,1053
2017.12,2017,12,기타,LAN,12958
2017.12,2017,12,기타,HFC,3077
2017.12,2017,12,기타,FTTH,3077
2018.01,2018,1,합계,xDSL,919063
2018.01,2018,1,합계,LAN,8442495
2018.01,2018,1,합계,HFC,3840634
2018.01,2018,1,합계,FTTH,7724563
2018.01,2018,1,KT,xDSL,654258
2018.01,2018,1,KT,LAN,3214403
2018.01,2018,1,KT,HFC,0
2018.01,2018,1,KT,FTTH,4912538
2018.01,2018,1,SK브로드밴드,xDSL,102797
2018.01,2018,1,SK브로드밴드,LAN,997358
2018.01,2018,1,SK브로드밴드,HFC,441526
2018.01,2018,1,SK브로드밴드,FTTH,889845
2018.01,2018,1,SKT(재판매),xDSL,138326
2018.01,2018,1,SKT(재판매),LAN,1312782
2018.01,2018,1,SKT(재판매),HFC,409682
2018.01,2018,1,SKT(재판매),FTTH,839591
2018.01,2018,1,LG U+,xDSL,0
2018.01,2018,1,LG U+,LAN,1983069
2018.01,2018,1,LG U+,HFC,913631
2018.01,2018,1,LG U+,FTTH,937576
2018.01,2018,1,종합유선,xDSL,22629
2018.01,2018,1,종합유선,LAN,923254
2018.01,2018,1,종합유선,HFC,2072659
2018.01,2018,1,종합유선,FTTH,141887
2018.01,2018,1,기타,xDSL,1053
2018.01,2018,1,기타,LAN,11629
2018.01,2018,1,기타,HFC,3136
2018.01,2018,1,기타,FTTH,3126
2018.02,2018,2,합계,xDSL,874886
2018.02,2018,2,합계,LAN,8449232
2018.02,2018,2,합계,HFC,3825160
2018.02,2018,2,합계,FTTH,7745993
2018.02,2018,2,KT,xDSL,614766
2018.02,2018,2,KT,LAN,3197038
2018.02,2018,2,KT,HFC,0
2018.02,2018,2,KT,FTTH,4910159
2018.02,2018,2,SK브로드밴드,xDSL,100795
2018.02,2018,2,SK브로드밴드,LAN,1000522
2018.02,2018,2,SK브로드밴드,HFC,435589
2018.02,2018,2,SK브로드밴드,FTTH,894957
2018.02,2018,2,SKT(재판매),xDSL,135903
2018.02,2018,2,SKT(재판매),LAN,1321244
2018.02,2018,2,SKT(재판매),HFC,406293
2018.02,2018,2,SKT(재판매),FTTH,846615
2018.02,2018,2,LG U+,xDSL,0
2018.02,2018,2,LG U+,LAN,1991338
2018.02,2018,2,LG U+,HFC,914373
2018.02,2018,2,LG U+,FTTH,945969
2018.02,2018,2,종합유선,xDSL,22367
2018.02,2018,2,종합유선,LAN,927831
2018.02,2018,2,종합유선,HFC,2065758
2018.02,2018,2,종합유선,FTTH,145112
2018.02,2018,2,기타,xDSL,1055
2018.02,2018,2,기타,LAN,11259
2018.02,2018,2,기타,HFC,3147
2018.02,2018,2,기타,FTTH,3181
2018.03,2018,3,합계,xDSL,823455
2018.03,2018,3,합계,LAN,8468920
2018.03,2018,3,합계,HFC,3821845
2018.03,2018,3,합계,FTTH,7767270
2018.03,2018,3,KT,xDSL,569857
2018.03,2018,3,KT,LAN,3181187
2018.03,2018,3,KT,HFC,0
2018.03,2018,3,KT,FTTH,4901932
2018.03,2018,3,SK브로드밴드,xDSL,98189
